"","Y","X1","X2","X3","X4","X5","X6","Lat","Longi"
"1",12.72188581,30,14,3,0,0,0.110261785,38.043904,-121.250424
"2",11.54248427,14,12,3,0,0,0.065603463,38.010252,-121.285448
"3",11.87687389,22,24,4,0,0,0.032802559,38.028944,-121.327576
"4",11.46163217,11,49,3,1,0,0.040842208,37.988324,-121.303632
"5",11.19821472,10,18,3,1,0,0.077190612,38.031028,-121.280912
"6",11.87059991,20,77,4,0,0,0.041129617,37.973132,-121.297584
"7",11.27339843,8,49,2,1,0,0.043372846,37.98964,-121.301424
"8",11.77528973,20,9,4,0,0,0.053522194,38.03332,-121.30708
"9",11.60823564,15,68,3,0,0,0.020050911,37.958044,-121.314416
"10",11.71177632,17,10,4,0,0,0.068429027,38.013228,-121.283552
"11",11.33857208,14,52,3,0,0,0.042286597,37.983836,-121.300392
"12",11.47729829,16,49,3,0,0,0.011271704,37.963736,-121.325952
"13",11.8493977,20,10,4,0,0,0.061502078,38.010272,-121.28984
"14",11.9511804,20,9,3,0,0,0.001028071,38.03382,-121.365584
"15",11.35627165,11,48,3,0,0,0.021311005,38.006152,-121.331248
"16",11.87687389,15,50,3,0,0,0.009791483,37.975236,-121.33188
"17",11.58524613,11,53,2,1,0,0.025396561,37.96762,-121.31232
"18",11.9316358,18,2,3,0,0,0.033041997,38.046812,-121.334072
"19",11.7905572,14,22,3,1,0,0.020184787,37.991068,-121.326752
"20",11.59450545,10,15,2,0,0,0.004039068,38.016008,-121.362072
"21",11.28971941,8,50,2,1,0,0.041833965,37.988568,-121.302664
"22",11.6127708,15,44,3,0,0,0.011453895,38.00202,-121.340224
"23",11.82041016,18,10,4,0,0,0.055311652,38.02966,-121.303784
"24",11.85296277,17,8,3,0,0,0.031423349,38.05502,-121.338904
"25",11.66134547,19,50,3,0,1,0.025370765,37.968288,-121.3126
"26",11.4019939,14,19,3,0,0,0.07028839,38.018848,-121.283688
"27",11.91505167,17,7,3,0,0,0.024262997,38.054664,-121.346424
"28",11.48760766,12.28,10,3,0,0,0.07104057,38.025824,-121.28552
"29",12.32385568,23.86,18,4,0,0,0.011045818,37.981452,-121.332888
"30",11.64395373,12.64,5,3,0,0,0.06699026,38.008692,-121.283376
"31",11.98449037,17.25,41,3,0,0,0.024338315,38.011096,-121.32988
"32",11.68266824,13.57,6,3,0,0,0.066897078,38.009,-121.283592
"33",12.03171926,20.16,75,4,0,0,0.026906957,37.964716,-121.309608
"34",11.88793137,16.93,48,3,0,0,0.04102164,37.971768,-121.297184
"35",11.50287513,10,8,3,0,0,0.075648351,38.026792,-121.28096
"36",11.77490504,17.88,48,4,0,1,0.044261971,37.987032,-121.299488
"37",11.77528973,12.7,59,2,0,0,0.03532761,37.974544,-121.30432
"38",11.91839057,16.49,6,3,0,0,0.00294706,38.03506,-121.368104
"39",12.01370075,20.3,19,4,0,1,0.007486524,38.033032,-121.356184
"40",11.73606902,15.36,13,3,0,0,0.013006226,38.038464,-121.352336
"41",12.1521443,27.27,11,4,1,0,0.007905291,38.037604,-121.357464
"42",11.75978554,17.6,20,4,0,0,0.035006336,38.032892,-121.326712
"43",12.10071213,25.84,22,5,1,1,0.009451414,37.989284,-121.337552
"44",11.79622294,17.1,18,3,0,1,0.039806171,38.037092,-121.323168
"45",11.9511804,13.67,52,2,0,0,0.02569066,37.965848,-121.311336
"46",10.87804719,8.59,20,2,0,0,0.077713769,37.978692,-121.260576
"47",11.71586631,14.38,23,3,0,0,0.034915637,38.032212,-121.326552
"48",11.8277362,20.72,25,5,0,0,0.002577919,38.012012,-121.359
"49",11.8277362,22.09,11,3,1,1,0.013941976,38.0391,-121.351576
"50",11.45635511,12.68,44,3,0,1,0.028660963,37.98418,-121.315088
"51",12.01370075,17.94,16,3,0,1,0.0131301,37.997468,-121.336712
"52",12.12269104,19,0,4,1,0,0.000301238,38.042344,-121.367384
"53",11.34981813,12.55,38,3,1,0,0.044536206,38.03396,-121.316928
"54",12.03469103,22.23,17,4,0,1,0.005427968,38.038196,-121.360336
"55",11.35040654,8.58,48,2,1,1,0.039373506,37.986392,-121.304472
"56",11.76756768,15.52,21,3,0,0,0.006871978,38.017596,-121.351008
"57",11.80931948,20.42,23,4,1,0,0.005297507,38.018244,-121.352936
"58",11.22524339,10.4,58,2,0,0,0.071502376,37.969292,-121.263664
"59",11.35040654,9.95,63,2,0,1,0.014539037,37.962288,-121.321912
"60",11.74403719,15.47,22,3,0,0,0.039151346,38.036912,-121.3238
"61",11.69441334,14.47,34,3,0,1,0.011204904,38.0155,-121.345584
"62",11.67419361,12.9,49,3,1,0,0.021230376,37.971712,-121.31832
"63",11.49272276,14,19,3,0,1,0.061104106,38.033556,-121.299064
"64",11.36210258,10.33,48,3,1,1,0.016803855,37.979344,-121.325936
"65",11.65268741,13,21,3,0,1,0.032713171,38.025452,-121.326352
"66",11.19821472,9.65,19,2,1,0,0.058552535,38.025512,-121.298752
"67",11.8386256,16.74,16,3,0,1,0.005373756,38.036476,-121.359744
"68",11.28978191,13.18,33,3,1,0,0.043279423,38.02562,-121.31512
"69",11.11988288,10.27,53,2,0,1,0.035194079,37.964216,-121.30056
"70",11.65225253,17.46,20,3,0,0,0.026282479,38.040032,-121.338736
"71",11.7352687,13.72,15,3,0,0,0.039656501,38.041432,-121.324968
"72",11.58524613,17.89,25,4,0,0,0.052253409,38.023824,-121.304848
"73",11.45105006,14.78,17,2,0,0,0.059072243,38.027448,-121.298928
"74",11.99843328,22.2,20,4,1,0,0.017803923,37.992568,-121.329864
"75",12.1281111,16.38,18,3,0,0,0.013113719,37.998148,-121.365024
"76",11.50287513,9.88,38,3,0,0,0.107886715,38.047728,-121.254408
"77",11.39582969,11.75,34,3,0,0,0.04192456,38.0307,-121.318488
"78",11.65225253,14.88,32,3,0,0,0.052130879,38.002476,-121.296912
"79",11.48195066,11.58,19,3,0,0,0.071079746,38.02422,-121.284872
"80",12.01974307,26.89,12,4,0,0,0.014996843,38.033256,-121.34824
"81",11.39526742,11.35,17,3,1,1,0.072445231,38.028464,-121.285016
"82",11.56076279,13,22,3,1,0,0.001361484,38.012804,-121.355088
"83",11.39639165,10,49,3,1,0,0.014811927,37.97174,-121.325192
"84",11.30220443,12,44,3,1,0,0.013768717,37.978612,-121.328904
"85",11.00209984,9,10,2,1,0,0.066016953,38.019636,-121.288552
"86",11.55214618,15,24,3,1,0,0.017028533,38.024544,-121.342776
"87",11.73206099,15,39,3,1,0,0.020935001,38.020056,-121.336904
"88",11.98286659,22,48,4,1,0,0.102405223,38.05752,-121.263968
"89",11.78858556,20,16,4,1,0,0.005406346,38.038156,-121.360344
"90",11.09877273,9,79,3,1,1,0.047293833,37.977868,-121.292784
"91",11.7279562,16,9,3,1,0,0.054364176,38.029012,-121.304552
"92",11.3736634,14,13,3,1,0,0.05522692,38.0088,-121.295992
"93",11.80559508,20,22,4,1,0,0.00792919,38.016268,-121.349376
"94",11.57496086,17,73,3,1,1,0.020103744,37.962724,-121.316128
"95",11.49170183,12,12,3,1,0,0.00954032,37.959092,-121.326048
"96",11.26318123,11,14,3,1,0,0.067046886,38.026932,-121.290208
"97",11.74324322,18,16,3,0,1,0.006249673,38.035736,-121.358528
"98",11.42900023,10.99,47,3,1,1,0.013594734,37.972192,-121.326664
"99",11.82224671,18.09,5,3,1,1,0.001470874,38.035256,-121.3666
"100",11.57590026,12.65,73,2,0,0,0.026514261,37.962356,-121.309136
"101",11.28978191,10.7,57,2,0,0,0.049499403,37.979704,-121.29112
"102",11.91839057,18.6,25,3,0,0,0.00524257,37.963212,-121.343408
