,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,_Entire home/apt,_Private room,_Shared room
0,40.647490000000005,-73.97237,5.0106352940962555,1,9,0.21,6,365,0,1,0
1,40.75362,-73.98376999999999,5.420534999272286,1,45,0.38,2,355,1,0,0
3,40.685140000000004,-73.95976,4.499809670330265,1,270,4.64,1,194,1,0,0
4,40.79851,-73.94399,4.394449154672439,10,9,0.1,1,0,1,0,0
5,40.74767,-73.975,5.303304908059076,3,74,0.59,1,129,1,0,0
6,40.68688,-73.95596,4.110873864173311,45,49,0.4,1,0,0,1,0
7,40.76489,-73.98493,4.382026634673881,2,430,3.47,1,220,0,1,0
8,40.80178,-73.96723,4.382026634673881,2,118,0.99,1,0,0,1,0
9,40.713440000000006,-73.99037,5.017279836814924,1,160,1.33,4,188,1,0,0
10,40.80316,-73.96545,4.912654885736052,5,53,0.43,1,6,1,0,0
11,40.76076,-73.98867,4.454347296253507,2,188,1.5,1,39,0,1,0
12,40.66829,-73.98779,4.499809670330265,4,167,1.34,3,314,0,1,0
13,40.79826,-73.96113000000001,4.454347296253507,2,113,0.91,1,333,0,1,0
14,40.7353,-74.00525,4.795790545596741,90,27,0.22,1,0,1,0,0
15,40.70837,-73.95352,4.948759890378168,2,148,1.2,1,46,1,0,0
16,40.69169,-73.97185,5.375278407684165,2,198,1.72,1,321,1,0,0
17,40.74192,-73.99501,4.948759890378168,1,260,2.12,1,12,0,1,0
18,40.67592,-73.94694,4.605170185988092,3,53,4.44,1,21,1,0,0
20,40.71842,-73.95718000000001,5.703782474656201,3,9,0.07,1,0,1,0,0
21,40.680690000000006,-73.97706,4.875197323201151,2,130,1.09,6,347,0,1,0
22,40.67989,-73.97798,4.394449154672439,1,39,0.37,6,364,0,1,0
23,40.680009999999996,-73.97865,4.709530201312334,2,71,0.61,6,304,0,1,0
24,40.68371,-73.94028,4.795790545596741,2,88,0.73,2,233,1,0,0
25,40.65599,-73.97519,4.110873864173311,1,19,1.37,2,85,0,1,0
27,40.76715,-73.98533,5.017279836814924,10,58,0.49,1,75,1,0,0
28,40.86482,-73.92106,3.8066624897703196,3,108,1.11,3,311,0,1,0
29,40.7292,-73.98541999999999,5.198497031265826,14,29,0.24,1,67,1,0,0
30,40.82245,-73.95104,3.9318256327243257,3,242,2.04,3,355,0,1,0
31,40.81305,-73.95466,3.970291913552122,2,88,1.42,1,255,0,1,0
32,40.722190000000005,-73.93762,4.02535169073515,4,197,1.65,3,284,0,1,0
33,40.8213,-73.95318,3.9318256327243257,3,273,2.37,3,359,0,1,0
34,40.6831,-73.95473,4.2626798770413155,1,74,0.66,2,269,0,1,0
35,40.668690000000005,-73.9878,4.499809670330265,4,168,1.41,3,340,0,1,0
37,40.701859999999996,-73.92745,4.454347296253507,2,231,1.96,2,22,1,0,0
39,40.714009999999995,-73.98917,3.713572066704308,1,214,1.81,4,188,0,0,1
40,40.7229,-73.98199,4.23410650459726,2,245,2.08,2,96,0,1,0
41,40.66278,-73.97966,4.795790545596741,3,15,0.39,1,345,1,0,0
42,40.69673,-73.97584,4.795790545596741,7,25,0.23,1,311,0,1,0
43,40.79009,-73.97927,4.912654885736052,4,81,0.69,1,273,0,1,0
44,40.81175,-73.94478000000001,5.017279836814924,7,97,0.84,1,309,1,0,0
45,40.659440000000004,-73.96238000000001,5.017279836814924,29,11,0.49,1,95,1,0,0
46,40.74771,-73.9474,4.875197323201151,3,248,2.25,1,215,0,1,0
47,40.68111,-73.95591,4.709530201312334,7,61,0.52,1,265,1,0,0
48,40.68554,-73.9409,4.7535901911063645,3,11,0.1,1,0,1,0,0
49,40.69142,-73.97376,4.394449154672439,3,135,1.16,2,192,0,1,0
50,40.68043,-73.93934,4.394449154672439,1,112,1.01,3,251,0,1,0
51,40.78635,-73.97008000000001,5.0238805208462765,2,73,0.63,1,302,1,0,0
52,40.7042,-73.9356,5.43372200355424,3,82,0.7,1,140,1,0,0
53,40.73506,-73.95392,4.976733742420574,2,328,2.82,1,234,1,0,0
54,40.73961,-73.98074,5.303304908059076,7,19,0.22,1,257,1,0,0
55,40.70881,-73.9593,5.017279836814924,30,105,0.9,1,30,1,0,0
56,40.720040000000004,-73.99104,4.709530201312334,5,19,0.17,1,301,0,1,0
57,40.755309999999994,-73.99293,4.248495242049359,2,289,2.49,2,294,0,1,0
58,40.72401,-73.93788,3.912023005428146,4,138,1.19,3,320,0,1,0
59,40.7221,-73.99775,5.198497031265826,30,21,0.3,1,154,1,0,0
60,40.71185,-73.96204,4.394449154672439,2,42,0.38,1,263,0,1,0
61,40.74623,-73.9953,5.929589143389895,180,5,0.12,1,180,1,0,0
62,40.77065,-73.95269,5.5254529391317835,2,66,0.57,2,231,1,0,0
63,40.67811,-73.96428,5.303304908059076,30,143,1.33,2,297,1,0,0
64,40.69,-73.96788000000001,4.02535169073515,7,27,0.23,2,292,0,1,0
65,40.75979,-73.99119,3.970291913552122,30,191,1.65,1,191,0,1,0
66,40.673429999999996,-73.98338000000001,5.420534999272286,3,4,0.16,1,0,1,0,0
67,40.726490000000005,-73.97904,4.394449154672439,1,338,4.72,2,72,0,1,0
68,40.70933,-73.96791999999999,5.62040086571715,1,148,1.4,1,362,1,0,0
69,40.72298,-73.98474,4.605170185988092,1,106,1.26,2,336,0,1,0
70,40.80164,-73.93921999999999,5.420534999272286,4,190,1.64,1,215,1,0,0
71,40.72162,-73.98008,5.442417710521793,9,49,0.43,1,116,1,0,0
72,40.76342,-73.98865,3.9512437185814275,7,23,0.43,1,88,0,1,0
73,40.83139,-73.94095,4.189654742026425,2,49,1.6,2,336,0,1,0
74,40.68346,-73.96374,4.663439094112067,2,105,0.92,1,304,0,1,0
75,40.72828,-73.98801,5.25227342804663,5,21,0.2,1,224,1,0,0
76,40.76865,-73.95058,5.303304908059076,1,142,1.5,1,322,0,1,0
77,40.75038,-73.90334,4.2626798770413155,30,25,0.22,1,324,0,1,0
78,40.6932,-73.97267,4.564348191467836,3,143,1.28,1,132,0,1,0
79,40.74138,-74.00197,5.017279836814924,3,167,1.65,1,295,0,1,0
80,40.71154,-73.96112,4.983606621708336,3,61,0.54,4,238,0,1,0
81,40.82915,-73.95136,4.709530201312334,31,54,0.49,1,209,1,0,0
82,40.718509999999995,-73.98892,5.655991810819852,5,70,0.62,1,328,1,0,0
83,40.65401,-73.96323000000001,4.875197323201151,6,16,0.15,1,38,1,0,0
84,40.7114,-73.98794000000001,4.553876891600541,30,94,0.84,1,188,0,1,0
85,40.69723,-73.99268000000001,6.68586094706836,1,25,0.24,1,7,1,0,0
86,40.71833,-73.95748,4.663439094112067,3,61,0.53,1,272,1,0,0
87,40.72334,-73.9844,4.110873864173311,3,194,1.73,1,26,0,1,0
88,40.72912,-73.98057,3.9318256327243257,1,2,0.05,1,0,0,1,0
89,40.71156,-73.96218,4.454347296253507,3,174,1.54,4,288,0,1,0
90,40.70032,-73.9383,4.189654742026425,4,24,0.28,1,317,0,1,0
91,40.68233,-73.97261,4.882801922586371,4,166,3.4,1,207,1,0,0
92,40.68634,-73.96600000000001,4.59511985013459,7,16,0.2,6,185,0,1,0
93,40.68035,-73.97162,5.5254529391317835,7,21,0.3,1,158,1,0,0
94,40.70984,-73.95775,4.61512051684126,5,168,1.57,1,0,1,0,0
95,40.70093,-73.92609,4.663439094112067,3,118,1.05,2,9,1,0,0
96,40.79764,-73.96177,4.948759890378168,3,81,0.71,1,198,1,0,0
97,40.82803,-73.94731,4.499809670330265,1,1,0.11,1,365,0,1,0
98,40.74008,-74.00271,4.59511985013459,30,30,0.27,2,364,0,1,0
99,40.684129999999996,-73.92357,4.836281906951478,7,139,1.23,2,311,1,0,0
100,40.822790000000005,-73.95139,4.110873864173311,3,11,0.87,3,219,0,1,0
101,40.67967,-74.00154,5.170483995038151,2,233,2.09,3,342,1,0,0
102,40.83927,-73.94281,4.189654742026425,2,68,0.6,1,312,0,1,0
103,40.730959999999996,-74.00319,6.2166061010848646,4,46,0.55,2,243,1,0,0
104,40.71332,-73.94176999999999,4.624972813284271,3,335,3.02,1,152,0,1,0
105,40.66941,-73.98109000000001,5.3981627015177525,30,88,0.79,1,9,1,0,0
106,40.68373,-73.92376999999999,4.836281906951478,90,162,1.46,2,137,1,0,0
107,40.71459,-73.94844,4.394449154672439,30,29,0.4,1,222,1,0,0
108,40.8092,-73.94421,4.61512051684126,2,170,1.61,1,346,0,1,0
109,40.68157,-73.98989,5.303304908059076,30,19,0.2,1,208,1,0,0
110,40.75527,-73.99291,4.0943445622221,2,334,3.0,2,279,0,1,0
111,40.68698,-73.96571999999999,4.836281906951478,2,19,0.2,6,250,0,1,0
112,40.7288,-73.98192,4.948759890378168,7,12,0.13,1,164,1,0,0
113,40.66853,-73.98912,4.795790545596741,30,467,4.22,2,192,1,0,0
114,40.7254,-73.98156999999999,5.860786223465865,2,7,0.06,4,298,1,0,0
115,40.742940000000004,-73.98009,5.298317366548036,5,38,0.38,1,260,1,0,0
116,40.71942,-73.95748,5.786897381366708,3,324,3.01,1,107,1,0,0
117,40.77823,-73.97636999999999,5.4638318050256105,6,27,0.27,1,199,1,0,0
118,40.72555,-73.97965,5.420534999272286,1,115,1.05,4,299,1,0,0
119,40.66831,-73.98604,4.605170185988092,2,354,3.2,3,20,0,1,0
120,40.82754,-73.94919,5.14166355650266,2,195,2.03,1,318,1,0,0
121,40.66499,-73.97925,5.993961427306569,2,16,0.24,2,216,1,0,0
122,40.778420000000004,-73.97556,5.14166355650266,7,13,0.12,1,224,1,0,0
123,40.72245,-73.98527,4.61512051684126,4,25,0.23,1,0,1,0,0
124,40.65593,-73.96053,4.330733340286331,2,9,0.08,1,324,0,1,0
125,40.719229999999996,-73.96468,4.51085950651685,1,9,0.08,1,245,0,1,0
126,40.778,-73.94821999999999,5.017279836814924,5,21,0.19,1,189,1,0,0
127,40.85879,-73.93128,4.454347296253507,15,36,0.33,1,307,0,1,0
128,40.68332,-73.9547,4.2626798770413155,3,63,0.58,2,310,0,1,0
129,40.816179999999996,-73.94894000000001,4.795790545596741,3,155,1.42,3,213,1,0,0
130,40.68414,-73.96351,4.499809670330265,3,260,2.35,1,278,0,1,0
131,40.72392,-73.99143000000001,5.225746673713202,5,73,0.66,1,209,1,0,0
132,40.73494,-73.9503,3.9318256327243257,3,193,1.86,1,0,0,1,0
