,Admin2,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,County,State,TotalPop,Transit,WorkAtHome
0,Abbeville,South Carolina,34.22333378,-82.46170658,162,1,0,Abbeville,South Carolina,24997.0,0.2,3.0
1,Acadia,Louisiana,30.295064899999996,-92.41419698,1453,46,0,Acadia,Louisiana,62163.0,0.2,2.0
2,Accomack,Virginia,37.76707161,-75.63234615,1045,14,0,Accomack,Virginia,33115.0,0.5,2.7
3,Ada,Idaho,43.4526575,-116.24155159999998,4541,25,0,Ada,Idaho,417501.0,0.5,6.9
4,Adair,Iowa,41.33075609,-94.47105874,17,0,0,Adair,Iowa,7426.0,0.3,5.8
5,Adair,Kentucky,37.10459774,-85.28129668,149,19,0,Adair,Kentucky,18852.0,0.5,2.9
6,Adair,Missouri,40.19058551,-92.60078167,102,0,0,Adair,Missouri,25560.0,0.2,3.7
7,Adair,Oklahoma,35.88494195,-94.65859267,144,4,0,Adair,Oklahoma,22236.0,0.1,2.4
8,Adams,Colorado,39.87432092,-104.3362578,4847,159,0,Adams,Colorado,471206.0,3.7,4.4
9,Adams,Idaho,44.89333571,-116.4545247,12,0,0,Adams,Idaho,3880.0,0.8,12.0
10,Adams,Illinois,39.98815591,-91.18786813,204,1,0,Adams,Illinois,67081.0,0.6,3.2
11,Adams,Indiana,40.7457653,-84.93671406,49,1,0,Adams,Indiana,34642.0,0.0,3.8
13,Adams,Mississippi,31.47669768,-91.35326037,388,20,0,Adams,Mississippi,31979.0,0.2,3.2
14,Adams,Nebraska,40.52449420000001,-98.50117804,315,11,0,Adams,Nebraska,31442.0,0.4,4.8
15,Adams,Ohio,38.84541072,-83.4718964,28,2,0,Adams,Ohio,28229.0,0.6,4.4
16,Adams,Pennsylvania,39.87140411,-77.21610347,399,14,0,Adams,Pennsylvania,101767.0,0.4,3.7
17,Adams,Washington,46.98299757,-118.56017340000001,251,0,0,Adams,Washington,19081.0,0.5,6.2
18,Adams,Wisconsin,43.96974651,-89.76782777,43,2,0,Adams,Wisconsin,20451.0,0.2,4.7
19,Addison,Vermont,44.03217337,-73.14130877,68,2,0,Addison,Vermont,36943.0,0.7,8.2
20,Aiken,South Carolina,33.54338026,-81.63645384,800,13,0,Aiken,South Carolina,163908.0,0.1,2.9
21,Aitkin,Minnesota,46.60962049,-93.41168259999999,17,0,0,Aitkin,Minnesota,15839.0,0.3,5.2
22,Alachua,Florida,29.67866525,-82.35928158,2258,12,0,Alachua,Florida,254218.0,4.5,4.1
23,Alamance,North Carolina,36.0434701,-79.39976137,1519,38,0,Alamance,North Carolina,155258.0,0.3,3.4
24,Alameda,California,37.64629437,-121.8929271,8321,152,0,Alameda,California,1584983.0,13.6,5.6
25,Alamosa,Colorado,37.57250606,-105.7885451,204,7,0,Alamosa,Colorado,16269.0,0.5,2.2
26,Albany,New York,42.60060306,-73.97723916,2247,121,0,Albany,New York,307463.0,5.7,2.9
27,Albany,Wyoming,41.65498705,-105.72354150000001,52,0,0,Albany,Wyoming,37565.0,2.6,5.9
28,Albemarle,Virginia,38.02080697,-78.55481085,578,10,0,Albemarle,Virginia,103108.0,2.0,7.2
29,Alcona,Michigan,44.6846864,-83.59507875,24,1,0,Alcona,Michigan,10550.0,0.4,4.6
30,Alcorn,Mississippi,34.88084463,-88.57996173,113,2,0,Alcorn,Mississippi,37319.0,0.2,1.6
31,Alexander,Illinois,37.18049267,-89.32910838,25,0,0,Alexander,Illinois,7364.0,2.1,0.8
32,Alexander,North Carolina,35.922379600000006,-81.17751948,183,1,0,Alexander,North Carolina,37158.0,0.0,2.3
36,Allamakee,Iowa,43.28383218,-91.37860922,138,4,0,Allamakee,Iowa,14060.0,0.1,5.1
37,Allegan,Michigan,42.59147037,-85.89102866,388,7,0,Allegan,Michigan,112837.0,0.2,4.1
38,Allegany,Maryland,39.62357628,-78.69280486,220,18,0,Allegany,Maryland,73549.0,0.6,1.9
39,Allegany,New York,42.25748406,-78.02750466,68,1,0,Allegany,New York,48070.0,0.6,3.0
40,Alleghany,North Carolina,36.49360862,-81.12857041,43,0,0,Alleghany,North Carolina,10911.0,0.1,4.6
41,Alleghany,Virginia,37.78636074,-80.00222498,52,2,0,Alleghany,Virginia,16066.0,1.0,1.6
42,Allegheny,Pennsylvania,40.46809875,-79.98167747,5364,199,0,Allegheny,Pennsylvania,1231145.0,9.1,4.2
43,Allen,Indiana,41.09194313,-85.06800636,2988,135,0,Allen,Indiana,363453.0,0.7,4.0
45,Allen,Kentucky,36.75197631,-86.19457544,193,7,0,Allen,Kentucky,20355.0,0.0,5.0
46,Allen,Louisiana,30.65385745,-92.82442028,497,14,0,Allen,Louisiana,25653.0,0.8,1.9
47,Allen,Ohio,40.77285242,-84.10802343,391,41,0,Allen,Ohio,105196.0,0.5,1.7
48,Allendale,South Carolina,32.98837386,-81.35321066,92,3,0,Allendale,South Carolina,9838.0,0.0,3.4
49,Alpena,Michigan,45.03477666,-83.62212411,123,12,0,Alpena,Michigan,29068.0,0.5,4.0
51,Amador,California,38.44583082,-120.65696000000001,45,0,0,Amador,California,36995.0,0.5,5.6
52,Amelia,Virginia,37.34081025,-77.98584649,53,1,0,Amelia,Virginia,12777.0,0.9,2.8
53,Amherst,Virginia,37.60308293,-79.14548696,40,0,0,Amherst,Virginia,32148.0,1.3,2.7
54,Amite,Mississippi,31.17467303,-90.80501621,118,3,0,Amite,Mississippi,12840.0,1.3,2.4
55,Anderson,Kansas,38.21413251,-95.29272815,15,0,0,Anderson,Kansas,7896.0,0.1,4.4
56,Anderson,Kentucky,38.00671029,-84.99171713,34,1,0,Anderson,Kentucky,21761.0,0.0,1.4
57,Anderson,South Carolina,34.51828081,-82.63959517,1134,20,0,Anderson,South Carolina,191215.0,0.3,2.4
58,Anderson,Tennessee,36.12684348,-84.19965764,219,2,0,Anderson,Tennessee,75430.0,0.0,3.0
59,Anderson,Texas,31.81534745,-95.65354823,1917,3,0,Anderson,Texas,57915.0,0.2,2.6
60,Andrew,Missouri,39.98492163,-94.80163024,55,1,0,Andrew,Missouri,17328.0,0.1,3.9
61,Andrews,Texas,32.30468633,-102.63765479999999,170,2,0,Andrews,Texas,16775.0,0.0,2.5
62,Androscoggin,Maine,44.1664747,-70.20380627,502,4,0,Androscoggin,Maine,107393.0,0.3,3.4
63,Angelina,Texas,31.25457347,-94.60901487,834,12,0,Angelina,Texas,87748.0,0.1,1.6
64,Anne Arundel,Maryland,39.00670238,-76.60329337,5619,210,0,Anne Arundel,Maryland,555280.0,3.5,4.8
65,Anoka,Minnesota,45.27476015,-93.24604565,2477,114,0,Anoka,Minnesota,338764.0,3.4,4.0
66,Anson,North Carolina,34.97403241,-80.09953279,214,2,0,Anson,North Carolina,26135.0,0.5,1.2
67,Antelope,Nebraska,42.17695516,-98.06662829999999,16,1,0,Antelope,Nebraska,6486.0,0.0,10.8
68,Antrim,Michigan,44.99690221,-85.15503082,27,0,0,Antrim,Michigan,23267.0,0.6,7.0
69,Apache,Arizona,35.39465006,-109.4892383,2611,104,0,Apache,Arizona,72124.0,0.6,6.3
70,Appanoose,Iowa,40.74324454,-92.86865906,29,3,0,Appanoose,Iowa,12669.0,0.2,5.3
71,Appling,Georgia,31.74847232,-82.28909114,370,15,0,Appling,Georgia,18417.0,0.3,2.6
72,Appomattox,Virginia,37.37569884,-78.81340003,48,0,0,Appomattox,Virginia,15208.0,0.5,5.1
73,Aransas,Texas,28.10556197,-96.9995047,57,0,0,Aransas,Texas,24292.0,0.0,5.0
74,Arapahoe,Colorado,39.64977461,-104.3353617,5734,352,0,Arapahoe,Colorado,608310.0,4.7,5.9
75,Archer,Texas,33.61569967,-98.68754589,12,0,0,Archer,Texas,8779.0,0.0,4.7
76,Archuleta,Colorado,37.19474156,-107.0476867,12,0,0,Archuleta,Colorado,12174.0,0.2,9.3
77,Arenac,Michigan,44.0636262,-83.89277559,38,2,0,Arenac,Michigan,15424.0,0.8,3.7
78,Arkansas,Arkansas,34.29145151,-91.37277296,66,0,0,Arkansas,Arkansas,18731.0,0.3,2.4
79,Arlington,Virginia,38.8767675,-77.10139853,2660,134,0,Arlington,Virginia,223945.0,26.4,5.8
80,Armstrong,Pennsylvania,40.81665618,-79.46290811,88,6,0,Armstrong,Pennsylvania,67979.0,0.7,3.4
82,Aroostook,Maine,46.65926321,-68.59841248,25,1,0,Aroostook,Maine,70005.0,0.1,4.4
84,Ascension,Louisiana,30.20406249,-90.91328409999998,1655,64,0,Ascension,Louisiana,114738.0,0.1,3.3
85,Ashe,North Carolina,36.43296207,-81.49862729,65,1,0,Ashe,North Carolina,27114.0,0.2,3.7
86,Ashland,Ohio,40.84772277,-82.27280781,78,2,0,Ashland,Ohio,53189.0,0.3,2.9
88,Ashley,Arkansas,33.19153461,-91.76984709999999,111,3,0,Ashley,Arkansas,21229.0,0.4,2.7
89,Ashtabula,Ohio,41.70860332,-80.74830218,452,44,0,Ashtabula,Ohio,99777.0,0.8,3.1
90,Asotin,Washington,46.18894415,-117.2022851,21,2,0,Asotin,Washington,22040.0,0.9,5.2
91,Assumption,Louisiana,29.89946234,-91.06461642,432,17,0,Assumption,Louisiana,23057.0,0.1,1.3
92,Atascosa,Texas,28.89333001,-98.52730485,275,2,0,Atascosa,Texas,47050.0,0.1,5.2
93,Atchison,Kansas,39.53185661,-95.30870026,44,0,0,Atchison,Kansas,16633.0,0.1,6.9
95,Athens,Ohio,39.33425634,-82.04278644,201,1,0,Athens,Ohio,64974.0,0.7,4.5
96,Atkinson,Georgia,31.29633502,-82.87545866,205,2,0,Atkinson,Georgia,8294.0,0.3,0.9
97,Atlantic,New Jersey,39.47538693,-74.65848483,3047,233,0,Atlantic,New Jersey,275376.0,7.4,2.0
98,Atoka,Oklahoma,34.37366573,-96.03802487,42,0,0,Atoka,Oklahoma,13906.0,0.1,5.2
99,Attala,Mississippi,33.08658803,-89.57838564,390,24,0,Attala,Mississippi,19175.0,0.2,1.1
