,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built,lat,long
0,221900.0,3,1.0,1180,5650,1.0,3,7,1955,47.5112,-122.257
2,180000.0,2,1.0,770,10000,1.0,3,6,1933,47.7379,-122.233
3,604000.0,4,3.0,1960,5000,1.0,5,7,1965,47.5208,-122.393
4,510000.0,3,2.0,1680,8080,1.0,3,8,1987,47.6168,-122.045
5,1225000.0,4,4.5,5420,101930,1.0,3,11,2001,47.6561,-122.005
6,257500.0,3,2.25,1715,6819,2.0,3,7,1995,47.3097,-122.327
7,291850.0,3,1.5,1060,9711,1.0,3,7,1963,47.4095,-122.315
8,229500.0,3,1.0,1780,7470,1.0,3,7,1960,47.5123,-122.337
9,323000.0,3,2.5,1890,6560,2.0,3,7,2003,47.3684,-122.031
10,662500.0,3,2.5,3560,9796,1.0,3,8,1965,47.6007,-122.145
11,468000.0,2,1.0,1160,6000,1.0,4,7,1942,47.69,-122.292
12,310000.0,3,1.0,1430,19901,1.5,4,7,1927,47.7558,-122.229
13,400000.0,3,1.75,1370,9680,1.0,4,7,1977,47.6127,-122.045
14,530000.0,5,2.0,1810,4850,1.5,3,7,1900,47.67,-122.394
16,395000.0,3,2.0,1890,14040,2.0,3,7,1994,47.7277,-121.962
17,485000.0,4,1.0,1600,4300,1.5,4,7,1916,47.6648,-122.343
18,189000.0,2,1.0,1200,9850,1.0,4,7,1921,47.3089,-122.21
19,230000.0,3,1.0,1250,9774,1.0,4,7,1969,47.3343,-122.306
20,385000.0,4,1.75,1620,4980,1.0,4,7,1947,47.7025,-122.341
22,285000.0,5,2.5,2270,6300,2.0,3,8,1995,47.3266,-122.169
23,252700.0,2,1.5,1070,9643,1.0,3,7,1985,47.3533,-122.166
24,329000.0,3,2.25,2450,6500,2.0,4,8,1985,47.3739,-122.172
25,233000.0,3,2.0,1710,4697,1.5,5,6,1941,47.3048,-122.218
26,937000.0,3,1.75,2450,2691,2.0,3,8,1915,47.6386,-122.36
27,667000.0,3,1.0,1400,1581,1.5,5,8,1909,47.6221,-122.314
28,438000.0,3,1.75,1520,6380,1.0,3,7,1948,47.695,-122.304
29,719000.0,4,2.5,2570,7173,2.0,3,8,2005,47.7073,-122.11
